step 0, validation loss: 10.9695
hellaswag: 274/1000 = 27.40%
step 0, loss: 10.967782, lr: 6.0000e-06, norm: 9.8172, dt: 13868.64ms, tokens_sec: 37803.84hz
step 3206, loss: 3.235949, lr: 1.1338e-03, norm: 0.2646, dt: 597.64ms, tokens_sec: 877265.60hz
step 3207, loss: 3.265907, lr: 1.1338e-03, norm: 0.2398, dt: 600.09ms, tokens_sec: 873675.65hz
step 3208, loss: 3.186159, lr: 1.1337e-03, norm: 0.2144, dt: 597.92ms, tokens_sec: 876850.38hz
step 3209, loss: 3.165681, lr: 1.1337e-03, norm: 0.1900, dt: 596.94ms, tokens_sec: 878294.32hz
step 3210, loss: 3.124487, lr: 1.1336e-03, norm: 0.2149, dt: 597.54ms, tokens_sec: 877416.81hz
step 3211, loss: 3.202277, lr: 1.1336e-03, norm: 0.1998, dt: 597.16ms, tokens_sec: 877968.91hz
step 3212, loss: 3.187303, lr: 1.1335e-03, norm: 0.1924, dt: 596.92ms, tokens_sec: 878328.35hz
step 3213, loss: 3.199412, lr: 1.1335e-03, norm: 0.1756, dt: 596.26ms, tokens_sec: 879294.16hz
step 3214, loss: 3.249554, lr: 1.1335e-03, norm: 0.1871, dt: 597.20ms, tokens_sec: 877913.17hz
step 3215, loss: 3.182397, lr: 1.1334e-03, norm: 0.1769, dt: 596.49ms, tokens_sec: 878950.44hz
step 3216, loss: 3.156876, lr: 1.1334e-03, norm: 0.1824, dt: 597.81ms, tokens_sec: 877007.75hz
step 3217, loss: 3.370118, lr: 1.1333e-03, norm: 0.1890, dt: 599.72ms, tokens_sec: 874224.08hz
step 3218, loss: 3.407962, lr: 1.1333e-03, norm: 0.2017, dt: 599.81ms, tokens_sec: 874092.03hz
step 3219, loss: 3.418954, lr: 1.1332e-03, norm: 0.1864, dt: 598.57ms, tokens_sec: 875898.30hz
step 3220, loss: 3.402847, lr: 1.1332e-03, norm: 0.1937, dt: 599.78ms, tokens_sec: 874133.73hz
step 3221, loss: 3.365646, lr: 1.1331e-03, norm: 0.1881, dt: 595.99ms, tokens_sec: 879690.59hz
step 3222, loss: 3.396998, lr: 1.1331e-03, norm: 0.2236, dt: 597.17ms, tokens_sec: 877954.18hz
step 3223, loss: 3.381404, lr: 1.1331e-03, norm: 0.2107, dt: 597.14ms, tokens_sec: 877994.85hz
step 3224, loss: 3.410451, lr: 1.1330e-03, norm: 0.1920, dt: 597.27ms, tokens_sec: 877814.70hz
step 3225, loss: 3.393556, lr: 1.1330e-03, norm: 0.1977, dt: 599.58ms, tokens_sec: 874423.62hz
step 3226, loss: 3.322481, lr: 1.1329e-03, norm: 0.1813, dt: 597.85ms, tokens_sec: 876952.14hz
step 3227, loss: 3.450803, lr: 1.1329e-03, norm: 0.1927, dt: 595.53ms, tokens_sec: 880370.65hz
step 3228, loss: 3.379680, lr: 1.1328e-03, norm: 0.1811, dt: 598.08ms, tokens_sec: 876617.23hz
step 3229, loss: 3.369000, lr: 1.1328e-03, norm: 0.1699, dt: 599.58ms, tokens_sec: 874427.79hz
step 3230, loss: 3.365423, lr: 1.1328e-03, norm: 0.1761, dt: 595.98ms, tokens_sec: 879701.49hz
step 3231, loss: 3.517967, lr: 1.1327e-03, norm: 0.1784, dt: 597.49ms, tokens_sec: 877478.43hz
step 3232, loss: 3.411325, lr: 1.1327e-03, norm: 0.1703, dt: 599.07ms, tokens_sec: 875165.21hz
step 3233, loss: 3.355704, lr: 1.1326e-03, norm: 0.1758, dt: 595.49ms, tokens_sec: 880424.58hz
step 3234, loss: 3.406320, lr: 1.1326e-03, norm: 0.1678, dt: 599.34ms, tokens_sec: 874780.86hz
step 3235, loss: 3.405330, lr: 1.1325e-03, norm: 0.1892, dt: 596.36ms, tokens_sec: 879145.11hz
step 3236, loss: 3.446925, lr: 1.1325e-03, norm: 0.1957, dt: 595.89ms, tokens_sec: 879847.21hz
step 3237, loss: 3.372191, lr: 1.1325e-03, norm: 0.1908, dt: 598.78ms, tokens_sec: 875592.78hz
step 3238, loss: 3.622796, lr: 1.1324e-03, norm: 0.3590, dt: 599.82ms, tokens_sec: 874078.83hz
step 3239, loss: 3.390492, lr: 1.1324e-03, norm: 0.2779, dt: 595.20ms, tokens_sec: 880854.13hz
step 3240, loss: 3.375330, lr: 1.1323e-03, norm: 0.2231, dt: 596.13ms, tokens_sec: 879490.75hz
step 3241, loss: 3.333759, lr: 1.1323e-03, norm: 0.1819, dt: 597.24ms, tokens_sec: 877854.65hz
step 3242, loss: 3.342869, lr: 1.1322e-03, norm: 0.2033, dt: 596.81ms, tokens_sec: 878479.23hz
step 3243, loss: 3.292035, lr: 1.1322e-03, norm: 0.1805, dt: 599.03ms, tokens_sec: 875235.58hz
step 3244, loss: 3.373938, lr: 1.1321e-03, norm: 0.2576, dt: 597.22ms, tokens_sec: 877879.18hz
step 3245, loss: 3.317079, lr: 1.1321e-03, norm: 0.2438, dt: 598.66ms, tokens_sec: 875772.72hz
step 3246, loss: 3.364466, lr: 1.1321e-03, norm: 0.1957, dt: 598.93ms, tokens_sec: 875377.38hz
step 3247, loss: 3.317800, lr: 1.1320e-03, norm: 0.1963, dt: 598.97ms, tokens_sec: 875312.57hz
step 3248, loss: 3.316732, lr: 1.1320e-03, norm: 0.1892, dt: 594.66ms, tokens_sec: 881663.22hz
step 3249, loss: 3.365460, lr: 1.1319e-03, norm: 0.1962, dt: 596.23ms, tokens_sec: 879345.85hz
step 3250, validation loss: 3.3939
step 3250, loss: 3.352441, lr: 1.1319e-03, norm: 0.2040, dt: 1765.38ms, tokens_sec: 296982.38hz
step 3251, loss: 3.241835, lr: 1.1318e-03, norm: 0.1962, dt: 597.17ms, tokens_sec: 877949.98hz
step 3252, loss: 3.263041, lr: 1.1318e-03, norm: 0.1996, dt: 590.24ms, tokens_sec: 888255.22hz
step 3253, loss: 3.160535, lr: 1.1318e-03, norm: 0.1901, dt: 598.51ms, tokens_sec: 875983.43hz
step 3254, loss: 3.139566, lr: 1.1317e-03, norm: 0.1849, dt: 595.80ms, tokens_sec: 879979.60hz
step 3255, loss: 3.216289, lr: 1.1317e-03, norm: 0.1801, dt: 598.70ms, tokens_sec: 875710.99hz
step 3256, loss: 3.196267, lr: 1.1316e-03, norm: 0.2097, dt: 595.74ms, tokens_sec: 880063.77hz
step 3257, loss: 3.146941, lr: 1.1316e-03, norm: 0.1876, dt: 599.79ms, tokens_sec: 874125.74hz
step 3258, loss: 3.213037, lr: 1.1315e-03, norm: 0.2125, dt: 592.82ms, tokens_sec: 884397.79hz
step 3259, loss: 3.184411, lr: 1.1315e-03, norm: 0.2047, dt: 597.72ms, tokens_sec: 877139.63hz
step 3260, loss: 3.158627, lr: 1.1314e-03, norm: 0.2062, dt: 597.00ms, tokens_sec: 878204.53hz
step 3261, loss: 3.199113, lr: 1.1314e-03, norm: 0.2083, dt: 597.72ms, tokens_sec: 877153.62hz
step 3262, loss: 3.137033, lr: 1.1314e-03, norm: 0.1931, dt: 592.81ms, tokens_sec: 884404.90hz
step 3263, loss: 3.367484, lr: 1.1313e-03, norm: 0.2055, dt: 592.23ms, tokens_sec: 885281.48hz
step 3264, loss: 3.368237, lr: 1.1313e-03, norm: 0.2090, dt: 594.89ms, tokens_sec: 881315.53hz
step 3265, loss: 3.418498, lr: 1.1312e-03, norm: 0.2177, dt: 597.27ms, tokens_sec: 877811.19hz
step 3266, loss: 3.350619, lr: 1.1312e-03, norm: 0.1974, dt: 594.02ms, tokens_sec: 882604.15hz
step 3267, loss: 3.416865, lr: 1.1311e-03, norm: 0.2148, dt: 597.11ms, tokens_sec: 878037.61hz
step 3268, loss: 3.426529, lr: 1.1311e-03, norm: 0.2288, dt: 600.25ms, tokens_sec: 873449.39hz
step 3269, loss: 3.444757, lr: 1.1311e-03, norm: 0.1891, dt: 596.48ms, tokens_sec: 878975.74hz
step 3270, loss: 3.362914, lr: 1.1310e-03, norm: 0.2652, dt: 597.70ms, tokens_sec: 877183.01hz
step 3271, loss: 3.377171, lr: 1.1310e-03, norm: 0.2523, dt: 594.54ms, tokens_sec: 881840.36hz
step 3272, loss: 3.387395, lr: 1.1309e-03, norm: 0.1922, dt: 593.60ms, tokens_sec: 883231.26hz
step 3273, loss: 3.408126, lr: 1.1309e-03, norm: 0.2394, dt: 592.12ms, tokens_sec: 885437.25hz
step 3274, loss: 3.441340, lr: 1.1308e-03, norm: 0.2135, dt: 597.18ms, tokens_sec: 877943.67hz
step 3275, loss: 3.387920, lr: 1.1308e-03, norm: 0.2010, dt: 595.50ms, tokens_sec: 880421.05hz
step 3276, loss: 3.332162, lr: 1.1307e-03, norm: 0.2133, dt: 594.99ms, tokens_sec: 881166.85hz
step 3277, loss: 3.372868, lr: 1.1307e-03, norm: 0.2094, dt: 594.07ms, tokens_sec: 882541.81hz
step 3278, loss: 3.380501, lr: 1.1307e-03, norm: 0.1750, dt: 596.62ms, tokens_sec: 878766.74hz
step 3279, loss: 3.413321, lr: 1.1306e-03, norm: 0.1971, dt: 596.66ms, tokens_sec: 878703.18hz
step 3280, loss: 3.417114, lr: 1.1306e-03, norm: 0.2036, dt: 595.69ms, tokens_sec: 880129.63hz
step 3281, loss: 3.346168, lr: 1.1305e-03, norm: 0.1687, dt: 594.01ms, tokens_sec: 882620.45hz
step 3282, loss: 3.381604, lr: 1.1305e-03, norm: 0.1804, dt: 593.87ms, tokens_sec: 882831.64hz
step 3283, loss: 3.363698, lr: 1.1304e-03, norm: 0.1751, dt: 595.61ms, tokens_sec: 880249.07hz
step 3284, loss: 3.382511, lr: 1.1304e-03, norm: 0.1702, dt: 598.95ms, tokens_sec: 875346.02hz
step 3285, loss: 3.374736, lr: 1.1303e-03, norm: 0.1711, dt: 596.23ms, tokens_sec: 879333.89hz
step 3286, loss: 3.293004, lr: 1.1303e-03, norm: 0.1753, dt: 596.69ms, tokens_sec: 878667.37hz
step 3287, loss: 3.335770, lr: 1.1303e-03, norm: 0.1749, dt: 595.30ms, tokens_sec: 880714.07hz
step 3288, loss: 3.363274, lr: 1.1302e-03, norm: 0.1816, dt: 597.17ms, tokens_sec: 877961.54hz
step 3289, loss: 3.370724, lr: 1.1302e-03, norm: 0.1794, dt: 591.30ms, tokens_sec: 886664.67hz
step 3290, loss: 3.393942, lr: 1.1301e-03, norm: 0.1730, dt: 596.28ms, tokens_sec: 879268.50hz
step 3291, loss: 3.340002, lr: 1.1301e-03, norm: 0.1825, dt: 598.12ms, tokens_sec: 876565.52hz
step 3292, loss: 3.341564, lr: 1.1300e-03, norm: 0.1542, dt: 596.36ms, tokens_sec: 879145.82hz
step 3293, loss: 3.347383, lr: 1.1300e-03, norm: 0.1823, dt: 595.66ms, tokens_sec: 880184.24hz
step 3294, loss: 3.340992, lr: 1.1300e-03, norm: 0.1791, dt: 600.22ms, tokens_sec: 873489.63hz
step 3295, loss: 3.359858, lr: 1.1299e-03, norm: 0.2020, dt: 594.21ms, tokens_sec: 882320.50hz
step 3296, loss: 3.343347, lr: 1.1299e-03, norm: 0.1864, dt: 597.71ms, tokens_sec: 877155.72hz
step 3297, loss: 3.259921, lr: 1.1298e-03, norm: 0.2060, dt: 592.96ms, tokens_sec: 884192.60hz
step 3298, loss: 3.145310, lr: 1.1298e-03, norm: 0.1814, dt: 597.97ms, tokens_sec: 876777.66hz
step 3299, loss: 3.138987, lr: 1.1297e-03, norm: 0.2059, dt: 595.21ms, tokens_sec: 880851.30hz
step 3300, loss: 3.238382, lr: 1.1297e-03, norm: 0.1757, dt: 597.73ms, tokens_sec: 877127.73hz
step 3301, loss: 3.179711, lr: 1.1296e-03, norm: 0.1818, dt: 596.25ms, tokens_sec: 879301.90hz
step 3302, loss: 3.261233, lr: 1.1296e-03, norm: 0.1944, dt: 595.84ms, tokens_sec: 879911.64hz
step 3303, loss: 3.154825, lr: 1.1296e-03, norm: 0.1751, dt: 592.42ms, tokens_sec: 884988.97hz
step 3304, loss: 3.172389, lr: 1.1295e-03, norm: 0.2077, dt: 593.17ms, tokens_sec: 883879.15hz
step 3305, loss: 3.185523, lr: 1.1295e-03, norm: 0.1843, dt: 597.11ms, tokens_sec: 878038.32hz
step 3306, loss: 3.182415, lr: 1.1294e-03, norm: 0.2697, dt: 591.81ms, tokens_sec: 885901.33hz
step 3307, loss: 3.189368, lr: 1.1294e-03, norm: 0.2501, dt: 596.46ms, tokens_sec: 878992.60hz
step 3308, loss: 3.164104, lr: 1.1293e-03, norm: 0.1948, dt: 595.07ms, tokens_sec: 881047.52hz
step 3309, loss: 3.341866, lr: 1.1293e-03, norm: 0.1941, dt: 592.27ms, tokens_sec: 885213.77hz
step 3310, loss: 3.384079, lr: 1.1292e-03, norm: 0.1912, dt: 595.77ms, tokens_sec: 880015.52hz
step 3311, loss: 3.378388, lr: 1.1292e-03, norm: 0.2016, dt: 598.38ms, tokens_sec: 876185.17hz
step 3312, loss: 3.411268, lr: 1.1292e-03, norm: 0.2219, dt: 597.31ms, tokens_sec: 877749.18hz
step 3313, loss: 3.364814, lr: 1.1291e-03, norm: 0.1878, dt: 595.19ms, tokens_sec: 880869.65hz
step 3314, loss: 3.389616, lr: 1.1291e-03, norm: 0.2026, dt: 600.51ms, tokens_sec: 873069.66hz
step 3315, loss: 3.335953, lr: 1.1290e-03, norm: 0.2304, dt: 597.83ms, tokens_sec: 876982.56hz
step 3316, loss: 3.366590, lr: 1.1290e-03, norm: 0.1873, dt: 592.90ms, tokens_sec: 884277.94hz
step 3317, loss: 3.372636, lr: 1.1289e-03, norm: 0.1887, dt: 593.97ms, tokens_sec: 882678.55hz
step 3318, loss: 3.473382, lr: 1.1289e-03, norm: 0.2137, dt: 598.22ms, tokens_sec: 876418.79hz
step 3319, loss: 3.385492, lr: 1.1288e-03, norm: 0.2278, dt: 596.79ms, tokens_sec: 878512.92hz
step 3320, loss: 3.369444, lr: 1.1288e-03, norm: 0.2098, dt: 594.49ms, tokens_sec: 881916.40hz
step 3321, loss: 3.331102, lr: 1.1288e-03, norm: 0.2127, dt: 595.28ms, tokens_sec: 880741.58hz
step 3322, loss: 3.320575, lr: 1.1287e-03, norm: 0.1956, dt: 595.12ms, tokens_sec: 880980.46hz
step 3323, loss: 3.397420, lr: 1.1287e-03, norm: 0.2071, dt: 596.33ms, tokens_sec: 879194.32hz
step 3324, loss: 3.365762, lr: 1.1286e-03, norm: 0.1925, dt: 597.33ms, tokens_sec: 877718.00hz
step 3325, loss: 3.379920, lr: 1.1286e-03, norm: 0.2057, dt: 598.18ms, tokens_sec: 876465.60hz
step 3326, loss: 3.376898, lr: 1.1285e-03, norm: 0.2136, dt: 600.54ms, tokens_sec: 873024.95hz
step 3327, loss: 3.359964, lr: 1.1285e-03, norm: 0.2031, dt: 595.87ms, tokens_sec: 879869.74hz
step 3328, loss: 3.375043, lr: 1.1284e-03, norm: 0.1969, dt: 597.79ms, tokens_sec: 877038.18hz
step 3329, loss: 3.397543, lr: 1.1284e-03, norm: 0.1745, dt: 593.19ms, tokens_sec: 883838.29hz
step 3330, loss: 3.375362, lr: 1.1283e-03, norm: 0.1973, dt: 597.57ms, tokens_sec: 877364.30hz
step 3331, loss: 3.400910, lr: 1.1283e-03, norm: 0.1844, dt: 594.24ms, tokens_sec: 882281.56hz
step 3332, loss: 3.354812, lr: 1.1283e-03, norm: 0.2102, dt: 594.87ms, tokens_sec: 881354.74hz
step 3333, loss: 3.391561, lr: 1.1282e-03, norm: 0.3295, dt: 594.73ms, tokens_sec: 881556.13hz
step 3334, loss: 3.326924, lr: 1.1282e-03, norm: 0.2688, dt: 597.00ms, tokens_sec: 878211.54hz
step 3335, loss: 3.310016, lr: 1.1281e-03, norm: 0.2936, dt: 595.92ms, tokens_sec: 879801.10hz
step 3336, loss: 3.354023, lr: 1.1281e-03, norm: 0.2288, dt: 598.29ms, tokens_sec: 876308.42hz
step 3337, loss: 3.362138, lr: 1.1280e-03, norm: 0.2457, dt: 597.72ms, tokens_sec: 877145.93hz
step 3338, loss: 3.325621, lr: 1.1280e-03, norm: 0.2287, dt: 596.52ms, tokens_sec: 878918.12hz
step 3339, loss: 3.326659, lr: 1.1279e-03, norm: 0.2024, dt: 595.77ms, tokens_sec: 880015.87hz
step 3340, loss: 3.360596, lr: 1.1279e-03, norm: 0.1891, dt: 594.70ms, tokens_sec: 881597.83hz
step 3341, loss: 3.355850, lr: 1.1279e-03, norm: 0.1923, dt: 597.43ms, tokens_sec: 877569.83hz
step 3342, loss: 3.327426, lr: 1.1278e-03, norm: 0.2030, dt: 598.29ms, tokens_sec: 876306.68hz
step 3343, loss: 3.246045, lr: 1.1278e-03, norm: 0.2033, dt: 597.16ms, tokens_sec: 877964.70hz
step 3344, loss: 3.156296, lr: 1.1277e-03, norm: 0.1996, dt: 596.45ms, tokens_sec: 879016.49hz
step 3345, loss: 3.209911, lr: 1.1277e-03, norm: 0.2330, dt: 594.07ms, tokens_sec: 882533.31hz
step 3346, loss: 3.165713, lr: 1.1276e-03, norm: 0.1945, dt: 593.70ms, tokens_sec: 883092.57hz
step 3347, loss: 3.163504, lr: 1.1276e-03, norm: 0.2071, dt: 597.54ms, tokens_sec: 877416.11hz
step 3348, loss: 3.121758, lr: 1.1275e-03, norm: 0.2082, dt: 596.71ms, tokens_sec: 878633.32hz
step 3349, loss: 3.165269, lr: 1.1275e-03, norm: 0.2104, dt: 592.73ms, tokens_sec: 884533.68hz
step 3350, loss: 3.285681, lr: 1.1275e-03, norm: 0.1987, dt: 593.60ms, tokens_sec: 883239.77hz
step 3351, loss: 3.217011, lr: 1.1274e-03, norm: 0.1990, dt: 593.49ms, tokens_sec: 883399.08hz
step 3352, loss: 3.213463, lr: 1.1274e-03, norm: 0.2052, dt: 597.72ms, tokens_sec: 877142.78hz
step 3353, loss: 3.201730, lr: 1.1273e-03, norm: 0.2011, dt: 594.40ms, tokens_sec: 882041.27hz
step 3354, loss: 3.230736, lr: 1.1273e-03, norm: 0.2178, dt: 596.28ms, tokens_sec: 879270.26hz
step 3355, loss: 3.412208, lr: 1.1272e-03, norm: 0.2266, dt: 596.57ms, tokens_sec: 878836.98hz
step 3356, loss: 3.473414, lr: 1.1272e-03, norm: 0.2344, dt: 594.78ms, tokens_sec: 881485.81hz
step 3357, loss: 3.447592, lr: 1.1271e-03, norm: 0.2636, dt: 596.56ms, tokens_sec: 878858.41hz
step 3358, loss: 3.339414, lr: 1.1271e-03, norm: 0.2179, dt: 595.45ms, tokens_sec: 880496.49hz
step 3359, loss: 3.553293, lr: 1.1270e-03, norm: 0.2330, dt: 594.45ms, tokens_sec: 881975.11hz
step 3360, loss: 3.395353, lr: 1.1270e-03, norm: 0.2238, dt: 594.17ms, tokens_sec: 882392.01hz
step 3361, loss: 3.349064, lr: 1.1270e-03, norm: 0.2269, dt: 600.03ms, tokens_sec: 873774.93hz
step 3362, loss: 3.362976, lr: 1.1269e-03, norm: 0.2070, dt: 599.35ms, tokens_sec: 874761.37hz
step 3363, loss: 3.376515, lr: 1.1269e-03, norm: 0.1994, dt: 599.74ms, tokens_sec: 874190.72hz
step 3364, loss: 3.341464, lr: 1.1268e-03, norm: 0.1989, dt: 597.94ms, tokens_sec: 876827.30hz
step 3365, loss: 3.366261, lr: 1.1268e-03, norm: 0.2057, dt: 596.89ms, tokens_sec: 878367.29hz
step 3366, loss: 3.428805, lr: 1.1267e-03, norm: 0.1962, dt: 596.34ms, tokens_sec: 879171.83hz
step 3367, loss: 3.502538, lr: 1.1267e-03, norm: 0.2269, dt: 597.17ms, tokens_sec: 877960.14hz
step 3368, loss: 3.413409, lr: 1.1266e-03, norm: 0.2471, dt: 596.40ms, tokens_sec: 879089.58hz
step 3369, loss: 3.386670, lr: 1.1266e-03, norm: 0.2009, dt: 598.21ms, tokens_sec: 876429.96hz
step 3370, loss: 3.392076, lr: 1.1265e-03, norm: 0.2816, dt: 595.33ms, tokens_sec: 880662.93hz
step 3371, loss: 3.392367, lr: 1.1265e-03, norm: 0.2635, dt: 594.54ms, tokens_sec: 881840.00hz
step 3372, loss: 3.373555, lr: 1.1265e-03, norm: 0.2146, dt: 594.28ms, tokens_sec: 882216.78hz
step 3373, loss: 3.461024, lr: 1.1264e-03, norm: 0.2215, dt: 599.11ms, tokens_sec: 875111.93hz
step 3374, loss: 3.420280, lr: 1.1264e-03, norm: 0.1941, dt: 596.49ms, tokens_sec: 878958.52hz
step 3375, loss: 3.389139, lr: 1.1263e-03, norm: 0.2073, dt: 595.23ms, tokens_sec: 880817.78hz
step 3376, loss: 3.449334, lr: 1.1263e-03, norm: 0.2251, dt: 596.57ms, tokens_sec: 878843.30hz
step 3377, loss: 3.372169, lr: 1.1262e-03, norm: 0.2409, dt: 594.30ms, tokens_sec: 882196.61hz
step 3378, loss: 3.392055, lr: 1.1262e-03, norm: 0.1837, dt: 594.55ms, tokens_sec: 881829.04hz
step 3379, loss: 3.363336, lr: 1.1261e-03, norm: 0.2193, dt: 594.63ms, tokens_sec: 881707.06hz
step 3380, loss: 3.322278, lr: 1.1261e-03, norm: 0.1930, dt: 600.40ms, tokens_sec: 873236.42hz
step 3381, loss: 3.313394, lr: 1.1261e-03, norm: 0.2069, dt: 596.42ms, tokens_sec: 879056.90hz
step 3382, loss: 3.375530, lr: 1.1260e-03, norm: 0.1947, dt: 595.11ms, tokens_sec: 880989.64hz
step 3383, loss: 3.328793, lr: 1.1260e-03, norm: 0.1925, dt: 592.55ms, tokens_sec: 884801.67hz
step 3384, loss: 3.334537, lr: 1.1259e-03, norm: 0.1838, dt: 598.91ms, tokens_sec: 875407.00hz
step 3385, loss: 3.401407, lr: 1.1259e-03, norm: 0.1746, dt: 595.83ms, tokens_sec: 879934.88hz
step 3386, loss: 3.347692, lr: 1.1258e-03, norm: 0.1839, dt: 598.72ms, tokens_sec: 875684.83hz
step 3387, loss: 3.311313, lr: 1.1258e-03, norm: 0.1730, dt: 595.68ms, tokens_sec: 880145.84hz
step 3388, loss: 3.338574, lr: 1.1257e-03, norm: 0.1674, dt: 595.91ms, tokens_sec: 879813.07hz
step 3389, loss: 3.357528, lr: 1.1257e-03, norm: 0.1900, dt: 597.69ms, tokens_sec: 877188.96hz
step 3390, loss: 3.184447, lr: 1.1256e-03, norm: 0.1881, dt: 596.12ms, tokens_sec: 879495.67hz
step 3391, loss: 3.221419, lr: 1.1256e-03, norm: 0.2069, dt: 595.89ms, tokens_sec: 879846.51hz
step 3392, loss: 3.147427, lr: 1.1255e-03, norm: 0.1862, dt: 596.53ms, tokens_sec: 878889.32hz
step 3393, loss: 3.165052, lr: 1.1255e-03, norm: 0.2105, dt: 596.46ms, tokens_sec: 878999.28hz
step 3394, loss: 3.277050, lr: 1.1255e-03, norm: 0.2139, dt: 596.22ms, tokens_sec: 879353.23hz
step 3395, loss: 3.152044, lr: 1.1254e-03, norm: 0.1857, dt: 596.06ms, tokens_sec: 879583.62hz
step 3396, loss: 3.165942, lr: 1.1254e-03, norm: 0.1849, dt: 596.87ms, tokens_sec: 878400.97hz
step 3397, loss: 3.242892, lr: 1.1253e-03, norm: 0.2005, dt: 594.72ms, tokens_sec: 881571.68hz
step 3398, loss: 3.124536, lr: 1.1253e-03, norm: 0.1828, dt: 593.46ms, tokens_sec: 883445.22hz
step 3399, loss: 3.322220, lr: 1.1252e-03, norm: 0.2164, dt: 592.31ms, tokens_sec: 885153.55hz
step 3400, loss: 3.212053, lr: 1.1252e-03, norm: 0.1963, dt: 598.66ms, tokens_sec: 875769.23hz
step 3401, loss: 3.208334, lr: 1.1251e-03, norm: 0.1958, dt: 595.28ms, tokens_sec: 880737.35hz
step 3402, loss: 3.355310, lr: 1.1251e-03, norm: 0.2221, dt: 597.69ms, tokens_sec: 877194.56hz
step 3403, loss: 3.450919, lr: 1.1250e-03, norm: 0.2046, dt: 592.85ms, tokens_sec: 884350.84hz
step 3404, loss: 3.400091, lr: 1.1250e-03, norm: 0.2061, dt: 594.26ms, tokens_sec: 882255.36hz
step 3405, loss: 3.419143, lr: 1.1250e-03, norm: 0.2150, dt: 596.31ms, tokens_sec: 879225.26hz
step 3406, loss: 3.396664, lr: 1.1249e-03, norm: 0.1805, dt: 598.00ms, tokens_sec: 876739.21hz
step 3407, loss: 3.397383, lr: 1.1249e-03, norm: 0.2129, dt: 596.19ms, tokens_sec: 879393.67hz
step 3408, loss: 3.402964, lr: 1.1248e-03, norm: 0.1868, dt: 595.69ms, tokens_sec: 880142.32hz
step 3409, loss: 3.398170, lr: 1.1248e-03, norm: 0.2255, dt: 593.45ms, tokens_sec: 883461.19hz
step 3410, loss: 3.435892, lr: 1.1247e-03, norm: 0.2280, dt: 598.19ms, tokens_sec: 876459.31hz
step 3411, loss: 3.368083, lr: 1.1247e-03, norm: 0.2152, dt: 595.12ms, tokens_sec: 880981.52hz
step 3412, loss: 3.311882, lr: 1.1246e-03, norm: 0.2092, dt: 594.68ms, tokens_sec: 881627.17hz
step 3413, loss: 3.415203, lr: 1.1246e-03, norm: 0.2317, dt: 597.36ms, tokens_sec: 877678.41hz
step 3414, loss: 3.366617, lr: 1.1245e-03, norm: 0.2475, dt: 597.39ms, tokens_sec: 877636.03hz
step 3415, loss: 3.386076, lr: 1.1245e-03, norm: 0.1835, dt: 596.50ms, tokens_sec: 878940.96hz
step 3416, loss: 3.438609, lr: 1.1245e-03, norm: 0.2148, dt: 599.23ms, tokens_sec: 874935.75hz
step 3417, loss: 3.372909, lr: 1.1244e-03, norm: 0.2018, dt: 595.39ms, tokens_sec: 880583.58hz
step 3418, loss: 3.368226, lr: 1.1244e-03, norm: 0.1871, dt: 599.12ms, tokens_sec: 875090.68hz
step 3419, loss: 3.371683, lr: 1.1243e-03, norm: 0.1946, dt: 596.09ms, tokens_sec: 879548.09hz
step 3420, loss: 3.375680, lr: 1.1243e-03, norm: 0.2210, dt: 594.70ms, tokens_sec: 881606.67hz
step 3421, loss: 3.362063, lr: 1.1242e-03, norm: 0.2924, dt: 596.29ms, tokens_sec: 879242.83hz
step 3422, loss: 3.397263, lr: 1.1242e-03, norm: 0.2538, dt: 596.96ms, tokens_sec: 878268.01hz
step 3423, loss: 3.378941, lr: 1.1241e-03, norm: 0.2145, dt: 599.79ms, tokens_sec: 874125.04hz
step 3424, loss: 3.338755, lr: 1.1241e-03, norm: 0.2021, dt: 595.86ms, tokens_sec: 879888.05hz
step 3425, loss: 3.382289, lr: 1.1240e-03, norm: 0.2248, dt: 596.27ms, tokens_sec: 879284.67hz
step 3426, loss: 3.336104, lr: 1.1240e-03, norm: 0.1762, dt: 595.88ms, tokens_sec: 879859.89hz
step 3427, loss: 3.361532, lr: 1.1239e-03, norm: 0.2291, dt: 595.75ms, tokens_sec: 880041.58hz
step 3428, loss: 3.358140, lr: 1.1239e-03, norm: 0.2142, dt: 595.36ms, tokens_sec: 880626.95hz
step 3429, loss: 3.343772, lr: 1.1239e-03, norm: 0.1837, dt: 595.46ms, tokens_sec: 880471.11hz
step 3430, loss: 3.325600, lr: 1.1238e-03, norm: 0.1911, dt: 597.86ms, tokens_sec: 876948.29hz
step 3431, loss: 3.292494, lr: 1.1238e-03, norm: 0.1714, dt: 594.67ms, tokens_sec: 881642.37hz
step 3432, loss: 3.311294, lr: 1.1237e-03, norm: 0.1889, dt: 595.90ms, tokens_sec: 879829.61hz
step 3433, loss: 3.413506, lr: 1.1237e-03, norm: 0.1847, dt: 596.27ms, tokens_sec: 879280.45hz
step 3434, loss: 3.292556, lr: 1.1236e-03, norm: 0.1941, dt: 592.33ms, tokens_sec: 885135.02hz
step 3435, loss: 3.317931, lr: 1.1236e-03, norm: 0.1872, dt: 597.15ms, tokens_sec: 877989.94hz
step 3436, loss: 3.367340, lr: 1.1235e-03, norm: 0.2067, dt: 595.74ms, tokens_sec: 880062.01hz
